CMPD,DG,KGRP
jnk1_abbott_55_46,6.794,3
jnk1_abbott_56_43,6.794,1
jnk1_abbott_57_41,6.794,1
jnk1_abbott_58_42,6.794,4
jnk1_abbott_59_35,10.115,2
mcl1_friberg_23,8.74,4
mcl1_friberg_26,8.153,4
mcl1_friberg_27,6.055,4
mcl1_friberg_28,6.555,4
mcl1_friberg_29,6.87,4
mcl1_friberg_30,7.774,4
mcl1_friberg_31,7.84,4
mcl1_friberg_32,6.517,4
mcl1_friberg_33,6.806,4
mcl1_friberg_34,6.8,4
mcl1_friberg_35,8.724,4
mcl1_friberg_36,8.097,4
mcl1_friberg_37,8.864,4
mcl1_friberg_38,6.948,4
mcl1_friberg_39,6.956,4
mcl1_friberg_40,7.18,4
mcl1_friberg_41,7.058,4
mcl1_friberg_42,8.807,4
mcl1_friberg_43,6.964,4
mcl1_friberg_44,8.586,4
mcl1_friberg_45,8.864,4
mcl1_friberg_46,7.525,3
mcl1_friberg_47,5.717,4
mcl1_friberg_48,6.596,4
mcl1_friberg_49,8.277,4
mcl1_friberg_50,9.235,5
mcl1_friberg_51,8.364,4
mcl1_friberg_52,9.133,5
mcl1_friberg_53_4hw2,9.865,5
mcl1_friberg_54,9.682,4
mcl1_friberg_56,9.165,2
mcl1_friberg_57,8.948,4
mcl1_friberg_58,9.313,5
mcl1_friberg_60_4hw3,8.825,2
mcl1_friberg_61,7.998,2
mcl1_friberg_62,7.876,5
mcl1_friberg_63,8.971,5
mcl1_friberg_64,9.404,5
mcl1_friberg_65,8.323,2
mcl1_friberg_66,8.347,4
mcl1_friberg_67,7.505,2
mcl1_friberg_68,7.612,5
thrombin_baum_01_1a_1zdv,7.336,5
thrombin_baum_02_1b_2zc9,9.165,5
thrombin_baum_03_1c,8.495,5
thrombin_baum_04_1d,8.517,5
thrombin_baum_05_2a,6.551,5
thrombin_baum_06_2b,7.224,5
thrombin_baum_07_2c,7.214,5
thrombin_baum_08_2d,6.566,5
thrombin_baum_09_2e,6.876,5
thrombin_baum_10_3a_2zf0,8.041,5
thrombin_baum_11_3b,7.184,5
thrombin_baum_12_3c,5.072,5
thrombin_baum_13_3d,4.077,5
thrombin_baum_14_4_2zda,11.412,5
thrombin_baum_15_5_2zff,6.727,5
thrombin_baum_16_6a,9.813,5
thrombin_baum_17_6b,8.948,5
thrombin_baum_18_6c,8.926,5
thrombin_baum_19_6d,8.647,5
thrombin_baum_20_6e,8.562,5
thrombin_baum_21_7a,7.55,5
thrombin_baum_22_7b,7.336,5
thrombin_baum_23_7c,7.93,5
thrombin_baum_24_7d_r,7.365,5
thrombin_baum_25_7e,5.599,5
thrombin_baum_26_7f,6.063,5
tyk2_liang_ejmc_31,9.536,3
tyk2_liang_ejmc_42,9.775,3
tyk2_liang_ejmc_43,8.256,3
tyk2_liang_ejmc_44,7.414,3
tyk2_liang_ejmc_45,9.548,3
tyk2_liang_ejmc_46,11.304,3
tyk2_liang_ejmc_47,9.69,3
tyk2_liang_ejmc_48,8.995,3
tyk2_liang_ejmc_49,7.744,3
tyk2_liang_ejmc_50,8.971,3
tyk2_liang_ejmc_54,10.524,3
tyk2_liang_ejmc_55,9.199,3
tyk2_liang_jmc_23_4gj2,11.689,3
tyk2_liang_jmc_27,11.268,3
tyk2_liang_jmc_28,10.967,3
tyk2_liang_jmc_30,10.926,3
bace1_merck_02_4a,7.858,2
bace1_merck_03_4b_2djv,9.542,2
bace1_merck_04_4c,7.774,2
bace1_merck_05_4d,9.02,2
bace1_merck_10_4i,8.183,2
bace1_merck_11_4j_4djw,8.937,2
bace1_merck_12_4k,7.774,2
bace1_merck_13_4l,9.253,2
bace1_merck_14_4m,9.06,2
bace1_merck_15_4n,9.008,2
bace1_merck_16_4o,9.293,2
bace1_merck_17_4p,9.983,2
bace1_merck_20_13a,8.756,2
bace1_merck_21_13b,9.033,2
bace1_merck_22_13c,9.235,2
bace1_merck_23_13d,10.367,2
bace1_merck_24_13e,9.865,2
bace1_merck_25_13f,9.008,2
bace1_merck_26_13g,9.008,2
bace1_merck_27_13h,9.542,2
bace1_merck_28_13i,9.182,2
bace1_merck_29_13j,8.651,1
bace1_merck_30_13k,9.608,2
bace1_merck_32_13m,8.672,2
bace1_merck_33_13n,8.455,2
bace1_merck_34_13o,8.455,1
bace1_merck_35_17a,10.631,2
bace1_merck_36_17b,9.983,2
bace1_merck_37_17c,9.766,2
bace1_merck_38_17d,9.335,2
bace1_merck_39_17e,9.921,2
bace1_merck_40_17f,9.335,2
bace1_merck_41_17g,9.644,2
bace1_merck_42_17h_4djx,10.232,2
bace1_merck_43_17i,9.38,2
bace1_merck_45_24_4dj7,11.234,2
cdk8_13,11.46,3
cdk8_14,11.87,4
cdk8_15,11.13,5
cdk8_16,10.91,5
cdk8_17,8.29,5
cdk8_18,11.63,5
cdk8_19,9.49,5
cdk8_20,10.16,5
cdk8_21,10.67,5
cdk8_22,9.24,5
cdk8_23,11.46,5
cdk8_24,10.64,5
cdk8_25,11.46,5
cdk8_26,9.74,5
cdk8_27,11.13,5
cdk8_28,7.64,5
cdk8_29,10.28,5
cdk8_30,8.94,5
cdk8_31,10.22,5
cdk8_32,11.46,5
cdk8_33,11.05,5
cdk8_34,11.22,5
cdk8_35,6.17,5
cdk8_36,11.13,5
cdk8_37,11.32,5
cdk8_38,9.7,5
cdk8_39,11.22,5
cdk8_40,11.87,5
cdk8_41,8.96,5
cdk8_42,8.41,4
cdk8_43,11.22,4
cdk8_44,9.2,4
cdk8_45,11.46,4
cmet_CHEMBL3402741_400,8.73,1
cmet_CHEMBL3402742_23,10.42,1
cmet_CHEMBL3402743_42,10.06,3
cmet_CHEMBL3402744_300,8.9,2
cmet_CHEMBL3402745_200,9.14,2
cmet_CHEMBL3402747_3400,7.46,3
cmet_CHEMBL3402748_5300,7.2,3
cmet_CHEMBL3402749_500,8.6,3
cmet_CHEMBL3402750_400,8.73,3
cmet_CHEMBL3402751_2100,7.75,3
cmet_CHEMBL3402752_30000,6.17,3
cmet_CHEMBL3402753_200,9.14,3
cmet_CHEMBL3402754_40,10.09,3
cmet_CHEMBL3402755_4200,7.34,3
cmet_CHEMBL3402756_2.7,11.69,3
cmet_CHEMBL3402757_6.5,11.17,3
cmet_CHEMBL3402758_10,10.91,3
cmet_CHEMBL3402759_5.7,11.25,3
cmet_CHEMBL3402760_1,12.28,3
cmet_CHEMBL3402761_1,12.28,4
cmet_CHEMBL3402762_1,12.28,4
cmet_CHEMBL3402763_90,9.61,1
cmet_CHEMBL3402764_90,9.61,2
cmet_CHEMBL3402765_11-charged-pKa-8.1,10.86,2
eg5_CHEMBL1077204,11.05,1
eg5_CHEMBL1077227,11.46,3
eg5_CHEMBL1078691,11.32,4
eg5_CHEMBL1078774,10.6,4
eg5_CHEMBL1078998,10.53,4
eg5_CHEMBL1082248,9.87,5
eg5_CHEMBL1082249,11.22,5
eg5_CHEMBL1083517,11.46,1
eg5_CHEMBL1083836,10.86,5
eg5_CHEMBL1084115,11.13,4
eg5_CHEMBL1084143,11.87,5
eg5_CHEMBL1084431,9.44,1
eg5_CHEMBL1084676,10.71,1
eg5_CHEMBL1084677,10.86,1
eg5_CHEMBL1084678,11.63,1
eg5_CHEMBL1084935,10.37,1
eg5_CHEMBL1085666,10.5,1
eg5_CHEMBL1085692,11.32,5
eg5_CHEMBL1085895,9.8,1
eg5_CHEMBL1086409,10.19,1
eg5_CHEMBL1086410,11.46,1
eg5_CHEMBL1088740,8.7,4
eg5_CHEMBL1089056,9.44,4
eg5_CHEMBL1089393,8.38,4
eg5_CHEMBL1093087,10.53,1
eg5_CHEMBL1093088,11.22,1
eg5_CHEMBL1096002,11.13,5
eg5_CHEMBL1096003,11.87,5
hif2a_1,11.32,4
hif2a_124,10.12,4
hif2a_15,11.05,4
hif2a_155,10.5,4
hif2a_156,9.74,4
hif2a_163,11.01,4
hif2a_164,6.76,4
hif2a_165,9.24,4
hif2a_167,10.67,4
hif2a_206,10.12,4
hif2a_215,10.6,4
hif2a_224,9.66,3
hif2a_227,10.76,3
hif2a_231,7.07,4
hif2a_23,10.02,4
hif2a_234,10.35,4
hif2a_235,10.12,3
hif2a_237,9.55,4
hif2a_251,10.28,4
hif2a_25,10.24,3
hif2a_252,9.71,4
hif2a_254,9.55,4
hif2a_256,10.67,4
hif2a_266,10.53,3
hif2a_289,10.91,2
hif2a_290,10.57,4
hif2a_30,10.57,3
hif2a_31,8.84,5
hif2a_336,9.82,4
hif2a_338,10.76,4
hif2a_35,7.15,3
hif2a_41,9.79,3
hif2a_42,8.94,3
hif2a_43,8.7,3
hif2a_50,9.7,5
hif2a_54,9.31,2
hif2a_57,10.67,3
hif2a_61,10.11,4
hif2a_67,10.17,4
hif2a_7a,10.0,4
hif2a_7b,7.39,4
hif2a_84,7.58,3
hif2a-jmc2023_19a-bindingpose1,8.2,1
hif2a-jmc2023_19b,8.3,1
hif2a-jmc2023_19c-bindingpose1,8.2,1
hif2a-jmc2023_19d-bindingpose1,7.9,1
hif2a-jmc2023_22a,8.3,1
hif2a-jmc2023_22b-bindingpose1,8.3,1
hif2a-jmc2023_22d-bindingpose1,8.3,1
hif2a-jmc2023_22e-bindingpose1,8.8,1
hif2a-jmc2023_22f-bindingpose1,9.1,1
hif2a-jmc2023_22g-bindingpose1,9.6,1
hif2a-jmc2023_35b,7.8,1
hif2a-jmc2023_35c,8.8,1
hif2a-jmc2023_35d,8.9,1
hif2a-jmc2023_35e,9.7,1
hif2a-jmc2023_35f,8.9,1
hif2a-jmc2023_35g,9.6,1
hif2a-jmc2023_35i,9.7,1
hif2a-jmc2023_35k,8.5,1
hif2a-jmc2023_35l,9.6,1
hif2a-jmc2023_35m,9.6,1
hif2a-jmc2023_35n,9.7,1
hif2a-jmc2023_35o,9.2,1
hif2a-jmc2023_35q,10.1,1
hif2a-jmc2023_35r,10.1,1
hif2a-jmc2023_35s,9.2,1
hif2a-jmc2023_35t,9.1,1
hsp90_woodhead_1,12.72,3
hsp90_woodhead_2,10.74,3
hsp90_woodhead_3,8.08,2
hsp90_woodhead_4,8.93,2
pfkfb3_19,8.56,2
pfkfb3_20,8.76,2
pfkfb3_23,7.39,2
pfkfb3_24,7.0,2
pfkfb3_26,10.4,2
pfkfb3_29,10.14,2
pfkfb3_30,10.24,2
pfkfb3_31,9.2,2
pfkfb3_33,8.01,2
pfkfb3_34,8.47,2
pfkfb3_35,9.28,2
pfkfb3_36,8.0,2
pfkfb3_37,8.33,2
pfkfb3_38,9.97,2
pfkfb3_39,9.49,2
pfkfb3_41,7.55,2
pfkfb3_42,8.18,2
pfkfb3_43,9.78,2
pfkfb3_44,9.42,2
pfkfb3_46,8.52,2
pfkfb3_47,8.61,2
pfkfb3_48,10.57,2
pfkfb3_49,8.87,2
pfkfb3_52,8.12,2
pfkfb3_53,7.69,2
pfkfb3_54,10.47,2
pfkfb3_55,10.3,2
pfkfb3_56,10.64,2
pfkfb3_57,8.14,2
pfkfb3_58,7.44,2
pfkfb3_59,7.91,2
pfkfb3_60,9.95,2
pfkfb3_62,9.65,2
pfkfb3_63,10.71,2
pfkfb3_64,7.93,2
pfkfb3_65,9.17,2
pfkfb3_67,10.0,2
pfkfb3_68,7.2,2
pfkfb3_69,9.13,2
pfkfb3_70,7.86,2
scyt_dehyd_2d,13.4817,4
scyt_dehyd_3d,9.19327,2
scyt_dehyd_4d,15.3434,1
scyt_dehyd_5d,13.2535,2
scyt_dehyd_6d,9.40585,2
scyt_dehyd_7d,15.2515,1
scyt_dehyd_8d,10.6284,4
shp2_10,8.2,5
shp2_11,9.75,5
shp2_3,8.99,3
shp2_4,9.08,3
shp2_6,7.08,3
shp2_7,9.16,3
shp2_Example_1,8.74,5
shp2_Example_14,9.24,5
shp2_Example_22,9.71,5
shp2_Example_23,5.82,5
shp2_Example_24,7.56,5
shp2_Example_25,8.22,5
shp2_Example_26,8.87,5
shp2_Example_27,6.35,5
shp2_Example_28,9.07,5
shp2_Example_29,9.78,3
shp2_Example_2,8.96,2
shp2_Example_30,8.52,5
shp2_Example_3,8.46,2
shp2_Example_4,5.46,2
shp2_Example_5,6.71,2
shp2_Example_6,8.03,2
shp2_Example_7,8.79,5
shp2_Example_8,8.28,5
shp2_Example_9,7.62,5
shp2_SHP836-2,7.15,3
taf12_cmpd_2_methyl,9.86,5
taf12_cmpd_3_Allyl,8.34,5
taf12_cmpd_4_Crotyl,8.71,5
taf12_cmpd_5_1-Butenyl,10.0,5
taf12_cmpd_6_ethyl,8.53,5
taf12_cmpd_7_n-propyl,8.12,5
taf12_cmpd_8_n-Butyl,8.28,5
taf12_cmpd_9_methoxyethyl,7.69,5
tnks2_1a,10.71,1
tnks2_1b,9.96,1
tnks2_3a,8.55,1
tnks2_3b,8.4,1
tnks2_5a,11.08,1
tnks2_5b,10.81,1
tnks2_5c,10.24,1
tnks2_5d,11.81,1
tnks2_5e,10.89,1
tnks2_5f,9.94,1
tnks2_5g,10.47,1
tnks2_5h,10.05,1
tnks2_5i,10.11,1
tnks2_5j,12.04,2
tnks2_5k,10.96,3
tnks2_5l,11.52,2
tnks2_5m,10.12,3
tnks2_5n,12.49,1
tnks2_5o,11.93,3
tnks2_5p,12.69,1
tnks2_7,10.09,1
tnks2_8a,10.81,1
tnks2_8b,10.76,3
tnks2_8c,12.08,1
tnks2_8d,10.26,3
tnks2_8e,11.0,1
tnks2_8f,10.5,3
urokinase_10302,10.8224,4
urokinase_11417,10.5656,4
urokinase_7806,8.6515,4
urokinase_8696,9.80217,4
p38_goldstein_01_2a_3fln,10.871,3
p38_goldstein_02_2b_3flw,10.672,3
p38_goldstein_03_2c,10.433,5
p38_goldstein_04_2d_3flz,9.478,3
p38_goldstein_05_2e,10.672,3
p38_goldstein_06_2f,8.46,3
p38_goldstein_07_2g,10.631,3
p38_goldstein_08_2h,9.45,3
p38_goldstein_09_2i,10.024,3
p38_goldstein_10_2j,10.053,3
p38_goldstein_11_2k,10.524,3
p38_goldstein_12_2l,12.23,3
p38_goldstein_13_2m,10.933,3
p38_goldstein_14_2n,11.821,3
p38_goldstein_15_2o,10.462,3
p38_goldstein_16_2p,11.172,3
p38_goldstein_17_2q,12.23,3
p38_goldstein_18_2r,10.763,3
p38_goldstein_19_2s_s,11.081,3
p38_goldstein_20_2t,11.821,3
p38_goldstein_21_2u,12.23,3
p38_goldstein_22_2v,8.948,3
p38_goldstein_23_2w_3fly,11.412,3
p38_goldstein_24_2x,10.203,3
p38_goldstein_25_2y,9.748,3
p38_goldstein_26_2z,10.33,3
p38_goldstein_27_2aa,9.242,3
p38_goldstein_28_2bb,9.039,3
p38_goldstein_30_2dd_3flq,9.921,3
p38_goldstein_31_2ee,12.23,3
p38_goldstein_32_2ff,11.412,3
p38_goldstein_33_2gg,10.631,3
p38_goldstein_34_2hh_3fmk,11.821,3
p38_goldstein_35_2ii_3fmh,10.815,3
chk1_11_docked,10.9787,2
chk1_12_docked,8.61243,2
chk1_13_docked,9.92085,2
chk1_14_docked,10.8701,2
chk1_15_docked,10.0438,2
chk1_16_docked,11.7816,2
chk1_17_torsion_adjust,10.3239,2
chk1_18_docked,9.54958,2
chk1_19,10.2494,2
chk1_20,10.0823,2
chk1_21_Xtal,13.0686,2
chk1_22,13.0686,2
chk1_24_pose_2,13.1773,2
hsp90_kung_cmpd_10,9.19,5
hsp90_kung_cmpd_11,9.19,5
hsp90_kung_cmpd_12,9.19,5
hsp90_kung_cmpd_13,10.15,5
hsp90_kung_cmpd_14,7.82,5
hsp90_kung_cmpd_15,9.61,5
hsp90_kung_cmpd_16,10.33,5
hsp90_kung_cmpd_17,10.74,5
hsp90_kung_cmpd_7,9.41,5
hsp90_kung_cmpd_8,6.86,5
hsp90_kung_cmpd_9,7.92,5
brd41_cmpd_2_methyl,9.59,5
brd41_cmpd_3_Allyl,7.09,5
brd41_cmpd_4_Crotyl,8.64,5
brd41_cmpd_5_1_butenyl,7.64,5
brd41_cmpd_6_ethyl,8.59,5
brd41_cmpd_7_n_propyl,7.02,5
brd41_cmpd_8_n_butyl,7.66,5
brd41_cmpd_9_methoxyethyl,7.22,5
throm_nozob_hip75_1a_xtal_pose,7.4093,3
throm_nozob_hip75_1b_xtal_pose,9.25606,3
throm_nozob_hip75_1c_pose_1,8.57962,3
throm_nozob_hip75_1d_pose_1,8.60129,3
throm_nozob_hip75_2a_pose_1,6.61648,3
throm_nozob_hip75_2b_pose_1,7.28564,3
throm_nozob_hip75_2c_pose_1,7.28564,3
throm_nozob_hip75_2d_pose_1,6.63087,3
throm_nozob_hip75_3a_xtal_pose,8.12044,3
throm_nozob_hip75_3b_pose_1,7.25489,3
throm_nozob_hip75_5,6.79363,3
throm_nozob_hip75_6a_pose_1,9.91084,3
throm_nozob_hip75_6b_pose_1,9.0369,3
throm_nozob_hip75_6c_pose_1,9.01441,3
throm_nozob_hip75_6d_pose_1,8.73291,3
throm_nozob_hip75_6e_pose_1,8.64716,3
throm_nozob_hip75_7a_pose_1,7.62466,3
throm_nozob_hip75_7b,7.4093,3
throm_nozob_hip75_7c_pose_1,8.00849,3
throm_nozob_hip75_7e_pose_1,5.65473,3
throm_nozob_hip75_7f,6.12277,3
erk2_1,7.69,4
erk2_5a,8.5,4
erk2_5b,9.13,4
erk2_5c,8.26,4
erk2_5d,8.68,4
erk2_5f,7.77,4
erk2_5g,9.63,4
erk2_5h,9.05,4
erk2_5i,9.26,4
erk2_5j,8.66,4
erk2_5k,10.08,4
erk2_5l,8.6,4
erk2_5m,8.58,4
erk2_5n,8.84,4
erk2_5o,9.23,4
erk2_6a,9.54,4
erk2_6b,8.42,4
erk2_6c,10.16,4
erk2_6e,8.58,4
erk2_6f,7.69,4
erk2_6p,11.86,4
erk2_6q,9.3,4
